X,Y,id,tag,map,fid,elev,type,bbox
3084133.56018867,1416244.65499993,ContourElevations.286,286,g40lc,286,834,depressed_contour,"[ 3084132.580000, 1416202.680000, 3084210.910000, 1416282.140000 ]"
3083530.15999923,1416209.750005,ContourElevations.287,287,g40lc,287,822,depressed_contour,"[ 3083516.990000, 1416202.660000, 3083573.770000, 1416320.500000 ]"
,,ContourElevations.288,288,g40lc,288,824,depressed_contour,"[ 3082862.880000, 1416204.640000, 3082884.580000, 1416231.950000 ]"
3083069.69217149,1416217.37,ContourElevations.289,289,g40lc,289,824,contour,"[ 3083063.700000, 1416212.610000, 3083080.540000, 1416220.160000 ]"
,,ContourElevations.290,290,g40lc,290,828,depressed_contour,"[ 3084153.790000, 1416222.990000, 3084188.090000, 1416261.610000 ]"
3078597.85866906,1416235.90500001,ContourElevations.291,291,g40lc,291,828,depressed_contour,"[ 3078597.500000, 1416226.240000, 3078612.650000, 1416245.550000 ]"
,,ContourElevations.292,292,g40lc,292,830,depressed_index,"[ 3078589.240000, 1416220.410000, 3078618.880000, 1416256.470000 ]"
3083546.27234754,1416269.08499985,ContourElevations.293,293,g40lc,293,820,depressed_index,"[ 3083529.060000, 1416237.040000, 3083556.460000, 1416300.300000 ]"
3080187.72958474,1416253.27500004,ContourElevations.294,294,g40lc,294,930,index,"[ 3080176.450000, 1416233.610000, 3080189.610000, 1416285.440000 ]"
3082720.23507688,1416287.58,ContourElevations.295,295,g40lc,295,826,depressed_contour,"[ 3082719.090000, 1416243.190000, 3082783.120000, 1416342.090000 ]"
3084269.71,1416310.17500003,ContourElevations.296,296,g40lc,296,850,index,"[ 3084267.630000, 1416250.070000, 3084393.680400, 1416362.766400 ]"
3083344.86144105,1416244.25000102,ContourElevations.297,297,g40lc,297,846,contour,"[ 3083342.600000, 1416243.060000, 3083347.750000, 1416245.770000 ]"
3079102.555,1416391.98,ContourElevations.298,298,g40lc,298,834,contour,"[ 3078811.230600, 1416269.290000, 3079114.410000, 1416509.642100 ]"
3082808.6,1416270.66500012,ContourElevations.299,299,g40lc,299,832,contour,"[ 3082802.800000, 1416261.410000, 3082814.670000, 1416277.750000 ]"
3079323.98,1416780.62,ContourElevations.300,300,g40lc,300,830,index,"[ 3078688.536600, 1416279.920000, 3079651.260000, 1417283.406500 ]"
3083818.64174679,1416316.47,ContourElevations.301,301,g40lc,301,830,depressed_index,"[ 3083817.280000, 1416278.020000, 3083890.870000, 1416356.140000 ]"
,,ContourElevations.302,302,g40lc,302,832,depressed_contour,"[ 3083809.240000, 1416270.540000, 3083901.460000, 1416367.760000 ]"
,,ContourElevations.303,303,g40lc,303,824,depressed_contour,"[ 3082763.500000, 1416281.710000, 3082776.490000, 1416320.840000 ]"
3078782.58000025,1416282.07500011,ContourElevations.304,304,g40lc,304,834,contour,"[ 3078779.035100, 1416281.470000, 3078785.105600, 1416283.546600 ]"
3078750.69499999,1416299.39,ContourElevations.305,305,g40lc,305,834,contour,"[ 3078749.490000, 1416281.614700, 3078755.879000, 1416314.545800 ]"
,,ContourElevations.306,306,g40lc,306,828,depressed_contour,"[ 3083825.320000, 1416285.150000, 3083882.430000, 1416343.010000 ]"
3082880.41906602,1416309.8199999,ContourElevations.307,307,g40lc,307,824,depressed_contour,"[ 3082854.670000, 1416295.310000, 3082881.560000, 1416325.530000 ]"
3082871.5331708,1416312.8600002,ContourElevations.308,308,g40lc,308,820,depressed_index,"[ 3082861.310000, 1416306.850000, 3082872.270000, 1416319.050000 ]"
3082876.04731993,1416311.21000014,ContourElevations.309,309,g40lc,309,822,depressed_contour,"[ 3082858.110000, 1416301.080000, 3082876.860000, 1416322.290000 ]"
3080894.585,1416445.54500001,ContourElevations.310,310,g40lc,310,930,index,"[ 3080850.606000, 1416333.642500, 3080995.322900, 1416597.511200 ]"
,,ContourElevations.311,311,g40lc,311,852,contour,"[ 3084298.010000, 1416297.480000, 3084332.290000, 1416309.020000 ]"
3078780.0191,1416313.98635,ContourElevations.312,312,g40lc,312,832,contour,"[ 3078778.373900, 1416312.231000, 3078781.664300, 1416315.741700 ]"
3079086.71,1416401.86,ContourElevations.313,313,g40lc,313,832,contour,"[ 3078809.990000, 1416298.010000, 3079090.960000, 1416509.489500 ]"
3080898.635,1416469.74500001,ContourElevations.314,314,g40lc,314,932,contour,"[ 3080842.517900, 1416353.548500, 3080982.806600, 1416596.862100 ]"
3078753.28820739,1416315.63844955,ContourElevations.315,315,g40lc,315,834,contour,"[ 3078753.105400, 1416315.537800, 3078753.465900, 1416315.700000 ]"
3083698.9100025,1416676.03,ContourElevations.316,316,g40lc,316,830,index,"[ 3083678.020000, 1416317.600000, 3084112.460000, 1416677.460000 ]"
3078254.71,1416820.81499999,ContourElevations.317,317,g40lc,317,824,contour,"[ 3078189.070000, 1416320.140000, 3079046.720000, 1417331.130000 ]"
3083735.70610604,1416373.48500022,ContourElevations.318,318,g40lc,318,826,depressed_contour,"[ 3083719.130000, 1416331.760000, 3083786.710000, 1416422.040000 ]"
3078930.79482886,1416372.86,ContourElevations.319,319,g40lc,319,828,depressed_contour,"[ 3078857.730000, 1416323.530000, 3078934.290000, 1416419.840000 ]"
3083952.81859954,1416365.99500009,ContourElevations.320,320,g40lc,320,836,contour,"[ 3083894.100000, 1416335.770000, 3083958.910000, 1416398.770000 ]"
